title,link
1990-The Route to Performance.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1990-10-12-the-route-to-performance.pdf?sfvrsn=2
1991-First Quarter Performance.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1991-04-11-first-quarter-client-performance.pdf?sfvrsn=2
"1992-Microeconomics 101: Supply, Demand and Convertibles.pdf",https://www.oaktreecapital.com/docs/default-source/memos/1992-10-08-microeconomics.pdf?sfvrsn=2
"1993-The Value of Predictions, or Whered All This Rain Come From?.pdf",https://www.oaktreecapital.com/docs/default-source/memos/1993-02-15-the-value-of-predictions-or-where-39-d-all-this-rain-come-from.pdf?sfvrsn=2
1994-How Does an Inefficient Market Get That Way?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1994-07-15-how-does-an-inefficient-market-get-that-way.pdf?sfvrsn=2
1994-Random Thoughts on the Identification of Investment Opportunities.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1994-01-24-random-thoughts-on-the-identification-of-inv-opportunities.pdf?sfvrsn=2
1994-Risk and Return Today.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2004-10-27-risk-and-return-today.pdf?sfvrsn=2
1994-Risk in Todays Markets.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1994-02-17-risk-in-todays-markets.pdf?sfvrsn=2
1995-How the Game Should Be Played.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1995-05-26-how-the-game-should-be-played.pdf?sfvrsn=2
1996-The Value of Predictions II (or Give That Man a Cigar).pdf,https://www.oaktreecapital.com/docs/default-source/memos/1996-07-22-the-value-of-predictions-ii-or-give-that-man-a-cigar.pdf?sfvrsn=2
1996-Will It Be Different This Time?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1996-11-25-will-it-be-different-this-time.pdf?sfvrsn=2
1997-Are You An Investor or a Speculator.pdf,https://www.oaktreecapital.com/docs/default-source/memos/are-you-an-investor-or-a-speculator.pdf?sfvrsn=2
1998-Genius Isnt Enough (and Other Lessons from Long-Term Capital Management).pdf,https://www.oaktreecapital.com/docs/default-source/memos/1998-10-09-genius-isn-39-t-enough.pdf?sfvrsn=2
1998-Who Knew?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1998-01-08-who-knew.pdf?sfvrsn=2
1999-Hows the Market?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/1999-04-15-hows-the-market.pdf?sfvrsn=2
2000-bubble.com.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2000-01-02-bubble.pdf?sfvrsn=2
2000-Investment Miscellany.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2000-11-16-investment-miscellany.pdf?sfvrsn=2
2000-Irrational Exuberance.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2000-05-01-irrational-exuberance.pdf?sfvrsn=2
"2000-Were Not In 1999 Anymore, Toto.pdf",https://www.oaktreecapital.com/docs/default-source/memos/2000-12-31-were-not-in-1999-anymore.pdf?sfvrsn=2
2001-Notes from New York.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2001-09-16-notes-from-ny.pdf?sfvrsn=2
2001-Safety First . . . But Where?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2001-04-10-safety-first-but-where.pdf?sfvrsn=2
2001-What Lies Ahead?.pdf,https://www.oaktreecapital.com/docs/default-source/memos/2001-10-04-what-lies-ahead.pdf?sfvrsn=2
"2001-Whats It All About, Alpha?.pdf",https://www.oaktreecapital.com/docs/default-source/memos/2001-07-11-whats-it-all-about-alpha.pdf?sfvrsn=2
