title,link
1997,https://s2.q4cdn.com/299287126/files/doc_financials/annual/Shareholderletter97.pdf
1998,https://s2.q4cdn.com/299287126/files/doc_financials/annual/Shareholderletter98.pdf
1999,https://s2.q4cdn.com/299287126/files/doc_financials/annual/Shareholderletter99.pdf
2000,https://s2.q4cdn.com/299287126/files/doc_financials/annual/00ar_letter.pdf
2001,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2001_shareholderLetter.pdf
2002,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2002_shareholderLetter.pdf
2003,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2003_-Shareholder_-Letter041304.pdf
2004,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2004_shareholderLetter.pdf
2005,https://s2.q4cdn.com/299287126/files/doc_financials/annual/shareholderletter2005.pdf
2006,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2006.PDF
2007,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2007letter.pdf
2008,https://s2.q4cdn.com/299287126/files/doc_financials/annual/Amazon_SH_Letter_2008.pdf
2009,https://s2.q4cdn.com/299287126/files/doc_financials/annual/AMZN_Shareholder-Letter-2009-(final).pdf
2010,https://s2.q4cdn.com/299287126/files/doc_financials/annual/117006_ltr_ltr2.pdf
2011,https://s2.q4cdn.com/299287126/files/doc_financials/annual/letter.PDF
2012,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2012-Shareholder-Letter.pdf
2013,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2013-Letter-to-Shareholders.pdf
2014,https://s2.q4cdn.com/299287126/files/doc_financials/annual/AMAZON-2014-Shareholder-Letter.pdf
2015,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2015-Letter-to-Shareholders.PDF
2016,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2016-Letter-to-Shareholders.pdf
2017,https://s2.q4cdn.com/299287126/files/doc_financials/annual/Amazon_Shareholder_Letter.pdf
2018,https://s2.q4cdn.com/299287126/files/doc_financials/annual/2018-Letter-to-Shareholders.pdf
2019,https://s2.q4cdn.com/299287126/files/doc_financials/2020/ar/2019-Shareholder-Letter.pdf
